Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Security Standards and Best Practices,Building Secure PHP Applications,,,,10.1007/979-8-8688-0932-3_5,Satej Kumar Sahu,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0932-3_5,Chapter
"Installing Laravel, Development, and Test Tools Installation",API Development with Laravel,,,,10.1007/979-8-8688-1576-8_2,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_2,Chapter
Refactoring and Standards Tools,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_4,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_4,Chapter
Web-Based Food Recommendation,Python for Business Analytics,,,,10.1007/978-981-96-8291-1_13,Mahadi Hasan MirazNarishah Mohamed SallehHwang Ha Jin,2025,https://link.springer.com/chapter/10.1007/978-981-96-8291-1_13,Chapter
Generating Documentation with phpDocumentor,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_2,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_2,Chapter
A Review on&#xa0;Mitigating Security Risks: Effective Strategies to&#xa0;Prevent Cross-Site Request Forgery Vulnerabilities,Cyber Intelligence and Information Retrieval,,,,10.1007/978-981-97-7603-0_27,Joy BiswasMahamudul HasanMd SaifulFaria Tabssum MimNafisa Tasnim,2025,https://link.springer.com/chapter/10.1007/978-981-97-7603-0_27,Conference paper
EasyCSPeasy: A Server-Side and&#xa0;Language-Agnostic XSS Mitigation by&#xa0;Devising and&#xa0;Ensuring Compliance with&#xa0;CSP,Security and Privacy in Communication Networks,,,,10.1007/978-3-031-94455-0_15,Beliz KaleliManuel EgeleGianluca Stringhini,2026,https://link.springer.com/chapter/10.1007/978-3-031-94455-0_15,Conference paper
PHP Standards,"PHP 8 Objects, Patterns, and Practice",,,,10.1007/978-1-4842-6791-2_15,Matt Zandstra,2021,https://link.springer.com/chapter/10.1007/978-1-4842-6791-2_15,Chapter
Enterprise Patterns,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_12,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_12,Chapter
Lightening Your Workload with Includes,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_5,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_5,Chapter
Building Online Stores Using PHP,Developments in Information & Knowledge Management for Business Applications,,,,10.1007/978-3-030-76632-0_21,Daniel PietrasikLoretta PinkePeter VeselýOskar Karlík,2021,https://link.springer.com/chapter/10.1007/978-3-030-76632-0_21,Chapter
Building RESTful APIs with ASP.NET Core (C#),Mastering REST APIs,,,,10.1007/979-8-8688-0309-3_6,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0309-3_6,Chapter
Development of IoT Based Controlled Bench Power Generation System,Information Systems for Intelligent Systems,,,,10.1007/978-981-99-8612-5_49,Imhade P. OkokpujieKien-Olali A. KinggsAdedotun AdetunlaKennedy OkokpujieMorayo E. Awomoyi,2024,https://link.springer.com/chapter/10.1007/978-981-99-8612-5_49,Conference paper
"Contribution of a Web-Based GIS to Groundwater Resource Management: The Sminja–Oued Rmel Aquifer System in the Zaghouan Region, Tunisia","Artificial Intelligence and Data Analytics for Innovative Applications in Engineering, Sustainability and Technology",,,,10.1007/978-3-031-90318-2_14,Hela SmiriSonia GannouniNoamen Rebai,2025,https://link.springer.com/chapter/10.1007/978-3-031-90318-2_14,Chapter
Towards the&#xa0;Identification of&#xa0;Vulnerability-Fixing Code Lines in&#xa0;OSS Security Patches Using Lexical Code Segmentation and&#xa0;LLMs,Data and Applications Security and Privacy XXXIX,,,,10.1007/978-3-031-96590-6_5,Reika Nishimura ArakawaYo KanemotoMitsuaki Akiyama,2025,https://link.springer.com/chapter/10.1007/978-3-031-96590-6_5,Conference paper
Analytics for Tour Package and Recommendation System,Python for Business Analytics,,,,10.1007/978-981-96-8291-1_17,Mahadi Hasan MirazNarishah Mohamed SallehHwang Ha Jin,2025,https://link.springer.com/chapter/10.1007/978-981-96-8291-1_17,Chapter
Implementing The Authentication System and Dashboard,API Development with Laravel,,,,10.1007/979-8-8688-1576-8_5,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_5,Chapter
Pages That Remember: Simple Login and Multipage Forms,PHP 8 Solutions,,,,10.1007/978-1-4842-7141-4_11,David Powers,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7141-4_11,Chapter
WordPress Customization Fundamentals,Pro WordPress,,,,10.1007/979-8-8688-0971-2_3,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0971-2_3,Chapter
Laravel for API Development,API Development with Laravel,,,,10.1007/979-8-8688-1576-8_3,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_3,Chapter
Bringing UFUs Back into&#xa0;the&#xa0;Air with&#xa0;FUEL: A Framework for&#xa0;Evaluating the&#xa0;Effectiveness of&#xa0;Unrestricted File Upload Vulnerability Scanners,"Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-031-64171-8_11,Sebastian NeefMaath Oudeh,2024,https://link.springer.com/chapter/10.1007/978-3-031-64171-8_11,Conference paper
Empowering Real-Time Communication: A Seamless Chatting System Using Websocket,Innovative Computing and Communications,,,,10.1007/978-981-97-4152-6_29,Kaiwalya DeshpandeAyush JainAbhinavSushruta MishraShalini GoelRachit Garg,2025,https://link.springer.com/chapter/10.1007/978-981-97-4152-6_29,Conference paper
A Content Management System,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_12,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_12,Chapter
Sessions and Logging In,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_10,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_10,Chapter
Implementing Endpoints and Generating Documentation,API Development with Laravel,,,,10.1007/979-8-8688-1576-8_6,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_6,Chapter
SIAS: Backend Development for Predictive Satellite Anomaly Analysis,Proceedings of Data Analytics and Management,,,,10.1007/978-3-032-03740-4_13,Lisa Dwi AprilliaHanif FakhrurrojaNizam AhmadLa Ode Muhammad Musafar KilowasidBramas Tri Angga PutraMuhammad Ilham,2026,https://link.springer.com/chapter/10.1007/978-3-032-03740-4_13,Conference paper
How Do I Work with Program Functions to Edit Data and Trigger Actions?,Learn coding with Python and JavaScript,,,,10.1007/978-3-658-42912-6_13,Joachim L. Zuckarelli,2024,https://link.springer.com/chapter/10.1007/978-3-658-42912-6_13,Chapter
Continuous Passenger Monitoring and Accident Detection (CPMAD) System,"Proceedings of Fourth International Conference on Communication, Computing and Electronics Systems",,,,10.1007/978-981-19-7753-4_11,S. K. Akash KrishnaaT. Pavan ReddyS. P. AakashG. L. V. N. S. VamsikrishnaM. E. Harikumar,2023,https://link.springer.com/chapter/10.1007/978-981-19-7753-4_11,Conference paper
Securing Laravel Applications,Building Real-Time Marvels with Laravel,,,,10.1007/978-1-4842-9789-6_23,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/978-1-4842-9789-6_23,Chapter
Distributed Computing and Programming,Parallel C++,,,,10.1007/978-3-031-54369-2_13,Patrick DiehlSteven R. BrandtHartmut Kaiser,2024,https://link.springer.com/chapter/10.1007/978-3-031-54369-2_13,Chapter
Deploying and Scaling Your API Using CapRover,API Development with Laravel,,,,10.1007/979-8-8688-1576-8_9,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_9,Chapter
Advanced Web Challenges,Handbook for CTFers,,,,10.1007/978-981-19-0336-6_3,,2022,https://link.springer.com/chapter/10.1007/978-981-19-0336-6_3,Chapter
Managing Data,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_9,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_9,Chapter
Form Management,PHP 8 for Absolute Beginners,,,,10.1007/978-1-4842-8205-2_3,Jason LengstorfThomas Blom HansenSteve Prettyman,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8205-2_3,Chapter
Installing MariaDB and Creating a Simple Web Application,Practical Linux DevOps,,,,10.1007/978-1-4842-8318-9_6,John S. Tonello,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8318-9_6,Chapter
Preventing SQL Injection Attacks on Web Applications for Enhanced Security and CIA Triad Compliance,Advances in Information Communication Technology and Computing,,,,10.1007/978-981-97-6103-6_8,Sriramoju RahulU. KumaranThippaluru Tharun SaiTripuramallu PramodhSundaravadivazhagn Balasubramanian,2024,https://link.springer.com/chapter/10.1007/978-981-97-6103-6_8,Conference paper
Generating Objects,"PHP 8 Objects, Patterns, and Practice: Volume 1",,,,10.1007/979-8-8688-0482-3_9,Matt Zandstra,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0482-3_9,Chapter
Real-Time Surveillance Network System for Traffic Monitoring and Reporting,Emerging Technologies for Developing Countries,,,,10.1007/978-3-031-93557-2_3,Abiodun A. AkanniWilson Sakpere,2026,https://link.springer.com/chapter/10.1007/978-3-031-93557-2_3,Conference paper
Smart Collar for Online Cattle Geolocalization and Healthcare Monitoring,Advances in Bioengineering and Clinical Engineering 2025,,,,10.1007/978-3-032-06401-1_64,J. PerfettoJ. Rossi,2025,https://link.springer.com/chapter/10.1007/978-3-032-06401-1_64,Conference paper
Scraping Data from Google Maps: Comparisons and Experimentations,Intelligent Computing and Networking,,,,10.1007/978-981-97-8631-2_14,Shivam ThakurRajan JhaMonika DalawatPrashant JhaAnand Khandare,2025,https://link.springer.com/chapter/10.1007/978-981-97-8631-2_14,Conference paper
A Unified Image Repository for Cucurbits Diseases and Pests,Intelligent Systems in Computing and Communication,,,,10.1007/978-3-031-75605-4_2,Rithika AdapaRakshaN. HemalathaPrathamesh PaiK. M. SreekumarP. K. SajeeshSainamole Kurian,2025,https://link.springer.com/chapter/10.1007/978-3-031-75605-4_2,Conference paper
Advanced Middleware Techniques,Building Real-Time Marvels with Laravel,,,,10.1007/978-1-4842-9789-6_7,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/978-1-4842-9789-6_7,Chapter
Enhancing E-Commerce with Geotagged Product Listings: A Website Development Approach,Intelligent Strategies for ICT,,,,10.1007/978-981-96-4145-1_7,Karan SanghviPratham KodialOm WalkeAyesha Hakim,2025,https://link.springer.com/chapter/10.1007/978-981-96-4145-1_7,Conference paper
Code Auditing,Handbook for CTFers,,,,10.1007/978-981-19-0336-6_10,,2022,https://link.springer.com/chapter/10.1007/978-981-19-0336-6_10,Chapter
Laravel for API Development: Further Steps,API Development with Laravel,,,,10.1007/979-8-8688-1576-8_4,Adegoke Akintoye,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1576-8_4,Chapter
DyO-Bot: Enhancing the Nonstop Well-Being of Diabetic Patients Through a Virtual Assistant Based on Chatbot-GPT,Information Technology and Systems,,,,10.1007/978-3-031-93109-3_23,Danitza María Gastelum CelayaObed Cervantes RubioRichard de Jesús Gil Herrera,2025,https://link.springer.com/chapter/10.1007/978-3-031-93109-3_23,Conference paper
API Security,Pro RESTful APIs with Micronaut,,,,10.1007/979-8-8688-1243-9_9,Sanjay Patni,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1243-9_9,Chapter
Short Paper: Systematic Bug Reproduction with&#xa0;Large Language Model,Computer Security. ESORICS 2024 International Workshops,,,,10.1007/978-3-031-82362-6_3,Sanghyun ParkHaeun LeeSang Kil Cha,2025,https://link.springer.com/chapter/10.1007/978-3-031-82362-6_3,Conference paper
Data to Decisions: A Computational Framework to Identify Skill Requirements from Advertorial Data,Advanced Network Technologies and Intelligent Computing,,,,10.1007/978-3-031-83793-7_28,Aakash SinghAnurag KanaujiaVivek Kumar Singh,2025,https://link.springer.com/chapter/10.1007/978-3-031-83793-7_28,Conference paper
Exploiting Metadata for Intelligent and Secure JSON REST API Services,Proceedings of World Conference on Information Systems for Business Management,,,,10.1007/978-981-99-8346-9_12,John Yoon,2024,https://link.springer.com/chapter/10.1007/978-981-99-8346-9_12,Conference paper
Intelligent Browser Window System for Visualizing Events Detected from Video in Distributed Fog Computing Environment,Computational Science and Its Applications – ICCSA 2025 Workshops,,,,10.1007/978-3-031-97648-3_21,Alexey SubbotinNataly ZhukovaElena Stankova,2026,https://link.springer.com/chapter/10.1007/978-3-031-97648-3_21,Conference paper
TEE-Receipt: A TEE-Based Non-repudiation Framework for&#xa0;Web Applications,Security and Privacy in Communication Networks,,,,10.1007/978-3-031-94448-2_12,Mahmoud HofnyLianying ZhaoMohammad MannanAmr Youssef,2026,https://link.springer.com/chapter/10.1007/978-3-031-94448-2_12,Conference paper
Continuous Integration,"PHP 8 Objects, Patterns, and Practice: Volume 2",,,,10.1007/979-8-8688-0779-4_12,Matt Zandstra,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0779-4_12,Chapter
Advanced WordPress Customization Techniques,Pro WordPress,,,,10.1007/979-8-8688-0971-2_4,Sivaraj Selvaraj,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0971-2_4,Chapter
Scripting Languages,Apache Essentials,,,,10.1007/978-1-4842-8324-0_4,Darren James Harkness,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8324-0_4,Chapter
A Configuration System,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_11,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_11,Chapter
Python Web Development,The Absolute Beginner's Guide to Python Programming,,,,10.1007/978-1-4842-8716-3_12,Kevin Wilson,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8716-3_12,Chapter
Web 2.0 Technologies: The Programmable/Dynamic Web,An Introduction to Web Mining,,,,10.1007/978-3-031-96638-5_5,Ulrich Matter,2025,https://link.springer.com/chapter/10.1007/978-3-031-96638-5_5,Chapter
HTML Forms,The Absolute Beginner's Guide to HTML and CSS,,,,10.1007/978-1-4842-9250-1_7,Kevin Wilson,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9250-1_7,Chapter
Systematic Integration of Design Prototypes into the LMS Moodle: Methods and Challenges in Practice,Computer-Human Interaction Research and Applications,,,,10.1007/978-3-031-82633-7_1,Thorleif HarderGilbert DrzyzgaJan-Marco BruhnsAnna-Lena Langhans,2025,https://link.springer.com/chapter/10.1007/978-3-031-82633-7_1,Conference paper
"Finding Data on the Web, Data Sets, Web Scraping, Web API",Big Data Infrastructure Technologies for Data Analytics,,,,10.1007/978-3-031-69366-3_11,Yuri DemchenkoJuan J. Cuadrado-GallegoOleg ChertovMarharyta Aleksandrova,2024,https://link.springer.com/chapter/10.1007/978-3-031-69366-3_11,Chapter
Web Scraping: Data Extraction from Websites,An Introduction to Web Mining,,,,10.1007/978-3-031-96638-5_4,Ulrich Matter,2025,https://link.springer.com/chapter/10.1007/978-3-031-96638-5_4,Chapter
Prerequisites,Practical Marko,,,,10.1007/979-8-8688-1483-9_2,Damodaran Chingleput Sathyakumar,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1483-9_2,Chapter
"Design Ubiquitous, Technologically Efficient Online Storage System Using Blockchain",Recent Trends in Artificial Intelligence and IoT,,,,10.1007/978-3-032-06198-0_28,Rajeev KumarPradeep KumarMadhurendra Kumar,2025,https://link.springer.com/chapter/10.1007/978-3-032-06198-0_28,Conference paper
Website with a DB,PHP 8 Basics,,,,10.1007/978-1-4842-8082-9_12,Gunnard EngebrethSatej Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8082-9_12,Chapter
On the&#xa0;Properness of&#xa0;Large Language Models for&#xa0;Malware Detection,Risks and Security of Internet and Systems,,,,10.1007/978-3-031-89350-6_8,Lupaşcu MarilenaViţel Silviu ConstantinGavriluţ Dragoş TeodorLuchian Henri,2025,https://link.springer.com/chapter/10.1007/978-3-031-89350-6_8,Conference paper
Development and Usability Evaluation of an RFID-Based Medical Equipment Inventory System,1st IFMBE Latin American Conference on Digital Health,,,,10.1007/978-3-031-88064-3_18,Manuel HernándezGonzalo PoveaAriana CarbajalAlvaro SevillaAriana FigueroaJosé FelixSandra Pérez,2025,https://link.springer.com/chapter/10.1007/978-3-031-88064-3_18,Conference paper
Patient Health Services for Early Detection Therapy of Diabetes Mellitus with Expert System and IOT,Revolutionizing Healthcare: AI Integration with IoT for Enhanced Patient Outcomes,,,,10.1007/978-3-031-65022-2_1,ParyatiShashi Kant GuptaK. W. Ida BagusH. K. BambangHojjat BaghbanK. S. MartinA. W. Agung,2024,https://link.springer.com/chapter/10.1007/978-3-031-65022-2_1,Chapter
Creation of Software for Evaluating the Quality of Educational Services Using the QFD Method,Integrated Computer Technologies in Mechanical Engineering - 2023,,,,10.1007/978-3-031-60549-9_39,Olha KritskaOleksandra KravtsovaDmytro KrytskyiArtem Krykun,2024,https://link.springer.com/chapter/10.1007/978-3-031-60549-9_39,Conference paper
Towards More Protected Medical Data: Assessing the Security of Web and Email Infrastructures in SMEs in the Republic of Moldova,7th International Conference on Nanotechnologies and Biomedical Engineering,,,,10.1007/978-3-032-06497-4_31,Anatolie AlexeiArina Alexei,2025,https://link.springer.com/chapter/10.1007/978-3-032-06497-4_31,Conference paper
Understanding the gRPC Specification,Beginning gRPC with ASP.NET Core 6,,,,10.1007/978-1-4842-8008-9_3,Anthony Giretti,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8008-9_3,Chapter
Characteristic Analysis and&#xa0;Attack Group Identification of&#xa0;Phishing Sites Targeting Japan,"Advances in Internet, Data and Web Technologies",,,,10.1007/978-3-031-86149-9_7,Shingo MatsugayaMakoto ShimamuraKosuke TakeshigeKeisuke SakaiMasaki Hashimoto,2025,https://link.springer.com/chapter/10.1007/978-3-031-86149-9_7,Conference paper
FLeD Learning Design Tool: Scaffolding Flexible Scenarios Through the Use of Flipped Learning Patterns,Technology Enhanced Learning for Inclusive and Equitable Quality Education,,,,10.1007/978-3-031-72312-4_29,Laia AlbóIngrid NogueraDavinia Hernández-LeoAna AfonsoDaniele AgostiniShatha N. Alkhasawneh,2024,https://link.springer.com/chapter/10.1007/978-3-031-72312-4_29,Conference paper
User Trust and&#xa0;AI-Enhanced Transparency: A Study on&#xa0;Cookie Banner UI Design,"HCI for Cybersecurity, Privacy and Trust",,,,10.1007/978-3-031-92840-6_8,Holger SzüszAla Sarah Alaqra,2025,https://link.springer.com/chapter/10.1007/978-3-031-92840-6_8,Conference paper
GitHub Copilot Management,Mastering GitHub Enterprise Management and Administration,,,,10.1007/979-8-8688-0369-7_7,Balu Nivrutti IlagAjayKumar P. BaljoshiGanesh J. SangaleYogesh Athave,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0369-7_7,Chapter
Design of an Electronic Health Record Module in the Pediatrics Department of the Ouahigouya Regional University Hospital Center,Towards new e-Infrastructure and e-Services for Developing Countries,,,,10.1007/978-3-031-81570-6_15,Seydou Golo BarroIrénée BamogoAly Abdoulaye Guindo,2025,https://link.springer.com/chapter/10.1007/978-3-031-81570-6_15,Conference paper
Comparison and Analysis of Tidal Level Monitoring Accuracy Between GNSS-IR and Satellite Altimetry,China Satellite Navigation Conference (CSNC 2024) Proceedings,,,,10.1007/978-981-99-6928-9_10,Naiquan ZhengHongzhou ChaiZhiyuan AnPeng ChenLingqiu ChenLixia Liu,2024,https://link.springer.com/chapter/10.1007/978-981-99-6928-9_10,Conference paper
The Image Gallery,An Introduction to PHP,,,,10.1007/979-8-8688-0177-8_8,Mark Simon,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0177-8_8,Chapter
Scripting and Security in Computer Networks and Web Browsers,Guide to Computer Network Security,,,,10.1007/978-3-031-47549-8_6,Joseph Migga Kizza,2024,https://link.springer.com/chapter/10.1007/978-3-031-47549-8_6,Chapter
A Case-Study on&#xa0;Structured Modeling with&#xa0;Internal Domain-Specific Languages,"The Combined Power of Research, Education, and Dissemination",,,,10.1007/978-3-031-73887-6_10,Steven SmythTim TegelerDaniel BuschSteve Boßelmann,2025,https://link.springer.com/chapter/10.1007/978-3-031-73887-6_10,Chapter
Removing Stegomalware from Digital Image Files,Advances in IoT and Security with Computational Intelligence,,,,10.1007/978-981-99-5085-0_2,Vinita VermaSunil K. MuttooV. B. SinghMeera Sharma,2023,https://link.springer.com/chapter/10.1007/978-981-99-5085-0_2,Conference paper
Creating a System Based on CRM Solutions that Will Manage the Supplier Base,Developments in Information & Knowledge Management for Business Applications,,,,10.1007/978-3-030-77916-0_1,Dawid ŻabickiVincent KarovičIryna Ivanochko,2022,https://link.springer.com/chapter/10.1007/978-3-030-77916-0_1,Chapter
Secure and Intelligent Patient Monitoring System: Integrating IoT and Blockchain for Real-Time Healthcare,Fostering Machine Learning and IoT for Blockchain Technology,,,,10.1007/978-981-96-4074-4_6,C. ManimegalaiK. SwethaR. Thenmozhi,2025,https://link.springer.com/chapter/10.1007/978-981-96-4074-4_6,Chapter
Generative AI for&#xa0;Code Generation: Software Reuse Implications,Reuse and Software Quality,,,,10.1007/978-3-031-66459-5_3,Georgia M. Kapitsaki,2024,https://link.springer.com/chapter/10.1007/978-3-031-66459-5_3,Conference paper
The Basics: PHP 8 Syntax,Learn PHP 8,,,,10.1007/978-1-4842-6240-5_3,Steve Prettyman,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6240-5_3,Chapter
Thinking Like a Hacker,Advanced ASP.NET Core 8 Security,,,,10.1007/979-8-8688-0494-6_4,Scott Norberg,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0494-6_4,Chapter
"XML, TEI, CDL",A Course in Natural Language Processing,,,,10.1007/978-3-031-27226-4_13,Yannis Haralambous,2024,https://link.springer.com/chapter/10.1007/978-3-031-27226-4_13,Chapter
Security Testing of Integrated Web Systems in the Process of Education of Software Engineers,The Impact of the Energy Dependency on Critical Infrastructure Protection,,,,10.1007/978-3-031-78544-3_19,Zlatko ČovićZoltán Rajnai,2025,https://link.springer.com/chapter/10.1007/978-3-031-78544-3_19,Conference paper
Insights from&#xa0;Running 24 Static Analysis Tools on&#xa0;Open Source Software Repositories,Information Systems Security,,,,10.1007/978-3-031-80020-7_13,Fabiha HashmatZeyad Alwaleed AljaaliMingjie ShenAravind Machiry,2025,https://link.springer.com/chapter/10.1007/978-3-031-80020-7_13,Conference paper
Smart Attendance System Using Face Recognition,Proceedings of the Green Materials and Electronic Packaging Interconnect Technology Symposium,,,,10.1007/978-981-19-9267-4_68,Muhammad Hazirul Bin BadrulSuzi Seroja SarninMohd Nor Mad TanAzlina IdrisNani Fadzlina NaimRos Shilawani S. Abdul Kadir,2023,https://link.springer.com/chapter/10.1007/978-981-19-9267-4_68,Conference paper
Attackers as&#xa0;Instructors: Using Container Isolation to&#xa0;Reduce Risk and&#xa0;Understand Vulnerabilities,"Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-031-35504-2_9,Yunsen LeiJulian P. LansonCraig A. ShueTimothy W. Wood,2023,https://link.springer.com/chapter/10.1007/978-3-031-35504-2_9,Conference paper
