Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Clearing in the Woods: Translation and Ownership Aspects of the Pedagogy of Action, in a Dance Composer’s Idiomatic Language",The Pedagogy of Action,,,,10.1007/978-981-19-0801-9_12,Rodney A. BrownNesha Z. Haniff,2022,https://link.springer.com/chapter/10.1007/978-981-19-0801-9_12,Chapter
Advanced Web,Handbook for CTFers,,,,10.1007/978-981-19-0336-6_2,,2022,https://link.springer.com/chapter/10.1007/978-981-19-0336-6_2,Chapter
ParaDiom – A Parallel Corpus of&#xa0;Idiomatic Texts,"Text, Speech, and Dialogue",,,,10.1007/978-3-031-40498-6_7,Gregor DonajŠpela Antloga,2023,https://link.springer.com/chapter/10.1007/978-3-031-40498-6_7,Conference paper
AWD,Handbook for CTFers,,,,10.1007/978-981-19-0336-6_11,,2022,https://link.springer.com/chapter/10.1007/978-981-19-0336-6_11,Chapter
The In-State Exception in Swiss Public Procurement Law: A Largely Unregulated Regulation,European Yearbook of International Economic Law 2023,,,,10.1007/8165_2024_118,Rika KochCaroline Lehner,2024,https://link.springer.com/chapter/10.1007/8165_2024_118,Chapter
Intrinsic and Generalized Finitude,Meaning Takes Time to Unfold: Towards a Heideggerian Ontology of Temporal Differentiation,,,,10.1007/978-3-031-84249-8_5,Renxiang Liu,2025,https://link.springer.com/chapter/10.1007/978-3-031-84249-8_5,Chapter
Code Injection Prevention in Content Management Systems Using Machine Learning,Computational Vision and Bio-Inspired Computing,,,,10.1007/978-981-16-9573-5_4,C. KavithamaniR. S. Sankara SubramanianSrinevasan KrishnamurthyJayakrishnan ChathuGayatri Iyer,2022,https://link.springer.com/chapter/10.1007/978-981-16-9573-5_4,Conference paper
Fresh Water Aqua Culturing Using Under Water Sensors,"Advances in Automation, Signal Processing, Instrumentation, and Control",,,,10.1007/978-981-15-8221-9_160,Madhumitha KulandaivelArulanand Natarajan,2021,https://link.springer.com/chapter/10.1007/978-981-15-8221-9_160,Conference paper
Log Files,Apache Essentials,,,,10.1007/978-1-4842-8324-0_6,Darren James Harkness,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8324-0_6,Chapter
Data(Researching—Compiling—Providing)cubed The Heidelberg Bibliography of Translations of Nonfictional Texts,Early Modern Translation and the Digital Humanities,,,,10.1007/978-3-662-70483-7_6,Anne WeberDaniele MorettiAnna Eschbach-DymanusVahram Atayan,2025,https://link.springer.com/chapter/10.1007/978-3-662-70483-7_6,Chapter
Perspectives on General Partial Hospital Programs for Children,Handbook of Evidence-Based Day Treatment Programs for Children and Adolescents,,,,10.1007/978-3-031-14567-4_6,Sarah E. BarnesJohn R. BoekampThamara DavisAbby De SteiguerHeather L. HunterLydia LinSarah E. MartinRyann MorrisonStephanie ParadeKatherine PartridgeKathryn SimonKristyn StoreyAnne Walters,2022,https://link.springer.com/chapter/10.1007/978-3-031-14567-4_6,Chapter
Running Online Services Using PHP Sockets,Web-Based Projects that Rock the Class,,,,10.1007/978-1-4842-4463-0_10,Christos Karayiannis,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4463-0_10,Chapter
Discipline and Disgust: Book Bans and “Don’t Say Gay” Laws,The Coercive Power of the Law,,,,10.1007/978-3-032-07589-5_3,Riley Clare ValentineZane McNeill,2025,https://link.springer.com/chapter/10.1007/978-3-032-07589-5_3,Chapter
"Revolutionary Fissures, Partnerships, and Violence, Part 2",Uncertain Threats,,,,10.1007/978-3-031-98087-9_7,Jason Ross Arnold,2025,https://link.springer.com/chapter/10.1007/978-3-031-98087-9_7,Chapter
Brentano as a Historian of (Medieval) Philosophy,Franz Brentano’s Philosophy After One Hundred Years,,,,10.1007/978-3-030-48563-4_13,Laurent Cesalli,2020,https://link.springer.com/chapter/10.1007/978-3-030-48563-4_13,Chapter
“It’s My Party”,It’s My Party,,,,10.1007/978-981-99-6710-0_5,Yiu Fai ChowJeroen de KloetLeonie Schmidt,2024,https://link.springer.com/chapter/10.1007/978-981-99-6710-0_5,Chapter
"State Transformation as Dialogue Between Center and Periphery: Non-State Actors and Everyday Administration in Lower Austria, 1790–1848",Modernizing Europe’s Imperial Monarchies,,,,10.1007/978-3-031-73046-7_6,Stephan Sander-Faes,2025,https://link.springer.com/chapter/10.1007/978-3-031-73046-7_6,Chapter
Model Project LeLA: Integrative Integration – Reflections from Project Practice,Refuge,,,,10.1007/978-3-658-42341-4_9,André Pohlmann,2024,https://link.springer.com/chapter/10.1007/978-3-658-42341-4_9,Chapter
Speeding Parasitic-Extraction Stage in Layout-Change-Order Validation Cycle Through Net-Tracing and Layout Trimming,"Proceedings of the 11th International Conference on Robotics, Vision, Signal Processing and Power Applications",,,,10.1007/978-981-16-8129-5_15,Lucan Tan Tien BoonNor Muzlifah Mahyuddin,2022,https://link.springer.com/chapter/10.1007/978-981-16-8129-5_15,Conference paper
Prelingual hearing disabilities and literacy skills,Handbook of Accessible Communication,,,,10.57088/978-3-7929-9120-6_10,Johannes Hennies,2024,https://link.springer.com/chapter/10.57088/978-3-7929-9120-6_10,Chapter
Prelingual hearing disabilities and literacy skills,Handbook of Accessible Communication,,,,10.57088/978-3-7329-8775-7_10,Johannes Hennies,2024,https://link.springer.com/chapter/10.57088/978-3-7329-8775-7_10,Chapter
The Luther Bible: Experiences and considerations based on its fourth revision,"[Re]Gained in Translation II: Bibles, Histories, and Struggles for Identity",,,,10.57088/978-3-7329-9175-4_3,Christoph Kähler,2024,https://link.springer.com/chapter/10.57088/978-3-7329-9175-4_3,Chapter
The “European Orient”: Forerunner of the Balkans,"Transnational and Transatlantic Perspectives on the Balkans, 1850–1918",,,,10.1007/978-3-031-69180-5_1,Eva Tamara Asboth,2025,https://link.springer.com/chapter/10.1007/978-3-031-69180-5_1,Chapter
Language in Law and in German Universities’ Legal Education: With a Glance on European Networks,Bilingual Study and Research,,,,10.1007/978-3-030-84550-6_8,Stefan Grundmann,2022,https://link.springer.com/chapter/10.1007/978-3-030-84550-6_8,Conference paper
More Than Just Documenting the Past: 15&#xa0;Years of 3D Scanning at the Archaeological Heritage Office of Saxony,The 3 Dimensions of Digitalised Archaeology,,,,10.1007/978-3-031-53032-6_3,Florian InnerhoferThomas ReuterConny Coburger,2024,https://link.springer.com/chapter/10.1007/978-3-031-53032-6_3,Chapter
Political Parties and Democratic Consolidation in Ghana: The Struggles of Smaller Parties in an Institutionalised Two-Party System,"Political Institutions, Party Politics and Communication in Ghana",,,,10.1007/978-3-031-54744-7_7,Isaac Owusu-MensahAbdul-Jalilu Ateku,2024,https://link.springer.com/chapter/10.1007/978-3-031-54744-7_7,Chapter
An Analysis of the Content in Social Networks During COVID-19 Pandemic,"Networking, Intelligent Systems and Security",,,,10.1007/978-981-16-3637-0_62,Mironela Pirnau,2022,https://link.springer.com/chapter/10.1007/978-981-16-3637-0_62,Conference paper
Metabolic Encephalopathy,Pediatric Neuroimaging,,,,10.1007/978-981-16-7928-5_5,Wangchun DaiBin AiWen HeZhenqing LiuHongsheng Liu,2022,https://link.springer.com/chapter/10.1007/978-981-16-7928-5_5,Chapter
Maintaining Your Trademark Rights,Markenrecht in China / Trademark Law in China,,,,10.34156/978-3-791-05759-0_14,Sonja Schäffler,2023,https://link.springer.com/chapter/10.34156/978-3-791-05759-0_14,Chapter
Representing Why I Write: Piecing/Peace-ing Together the Personal/Professional,The Palgrave Handbook of Autoethnographic and Self-Study Education Research Methods,,,,10.1007/978-3-031-83947-4_12,Alison L. Black,2025,https://link.springer.com/chapter/10.1007/978-3-031-83947-4_12,Chapter
Intergovernmental Relations in Urban Climate Policy: How Berlin and Paris Formulate and Implement Climate Strategies,New Perspectives on Intergovernmental Relations,,,,10.1007/978-3-031-61790-4_8,Tomás VellaniFranziska OehlertJanina Walkenhorst,2024,https://link.springer.com/chapter/10.1007/978-3-031-61790-4_8,Chapter
Understanding Old and New Testament Grace,Grace Leadership,,,,10.1007/978-3-031-04488-5_1,Patrick S. Millsap,2022,https://link.springer.com/chapter/10.1007/978-3-031-04488-5_1,Chapter
Marine Algae and Their Importance,Current Status of Marine Water Microbiology,,,,10.1007/978-981-99-5022-5_5,Sarah Constance MotshekgaLesego Tabea TemaneJonathan Tersur OrasughSuprakas Sinha Ray,2023,https://link.springer.com/chapter/10.1007/978-981-99-5022-5_5,Chapter
"German Suppression of the Palestinian Voices, the Role of the Churches, and Countervailing Theological and Social Forces",Interreligious Solidarity for Justice in Palestine-Israel,,,,10.1007/978-3-031-80995-8_6,Ulrich Duchrow,2025,https://link.springer.com/chapter/10.1007/978-3-031-80995-8_6,Chapter
Systemic Design,Design for Sustainability,,,,10.1007/978-981-96-8657-5_12,Xin LiuFang ZhongJun Zhang,2025,https://link.springer.com/chapter/10.1007/978-981-96-8657-5_12,Chapter
A Passage Through China: Early Years as an Independent Traveler,"Geography of Time, Place, Movement and Networks, Volume 1",,,,10.1007/978-3-031-58021-5_14,Christine A. Vogt,2024,https://link.springer.com/chapter/10.1007/978-3-031-58021-5_14,Chapter
How Do I Store Data to Work With?,Learn coding with Python and JavaScript,,,,10.1007/978-3-658-42912-6_11,Joachim L. Zuckarelli,2024,https://link.springer.com/chapter/10.1007/978-3-658-42912-6_11,Chapter
The Double Fragmentation of Theresienstadt,Theresienstadt: Film Fragments and Testimonies,,,,10.1007/978-3-658-42531-9_3,Natascha Drubek,2024,https://link.springer.com/chapter/10.1007/978-3-658-42531-9_3,Chapter
Detecting Arrhythmia Using the IoT Paradigm,Handbook on Decision Making,,,,10.1007/978-3-031-08246-7_14,Nancy Aracely Cruz-RamosGiner Alor-HernándezGuillermo Prieto-AvalosJosé Luis Sánchez-CervantesLuis Rolando Guarneros-Nolasco,2023,https://link.springer.com/chapter/10.1007/978-3-031-08246-7_14,Chapter
The Cloud-Integrated Hospital Allotment System for Dynamic Patients Integrated with IoT,"Proceedings of 3rd International Conference on Machine Learning, Advances in Computing, Renewable Energy and Communication",,,,10.1007/978-981-19-2828-4_10,Rekha S. DangeBharati B. Sayankar,2022,https://link.springer.com/chapter/10.1007/978-981-19-2828-4_10,Conference paper
Fire causes emissions,Future Fire Forms,,,,10.1007/978-3-031-12081-7_5,Cornel Stan,2023,https://link.springer.com/chapter/10.1007/978-3-031-12081-7_5,Chapter
Significance of the Carabaos in Harvest Festivals in the Philippines,Tourism in the Philippines,,,,10.1007/978-981-19-4013-2_7,Peter Jerome B. Del Rosario,2022,https://link.springer.com/chapter/10.1007/978-981-19-4013-2_7,Chapter
Computational Modelling for Formulation Design,Applications of Computational Tools in Drug Design and Development,,,,10.1007/978-981-96-4154-3_2,Teja Kumar PonduriRoja Rani BudhaDeepika PaliwalKartheek SiripurapuRajasekhar Reddy AlavalaS. N. Koteswara Rao G.,2025,https://link.springer.com/chapter/10.1007/978-981-96-4154-3_2,Chapter
As-a-Service Models for Manufacturing Technology,The Monetization of Technical Data,,,,10.1007/978-3-662-66509-1_24,Joachim StankeDaniel TrauthPhilipp NiemietzThomas Bergs,2023,https://link.springer.com/chapter/10.1007/978-3-662-66509-1_24,Chapter
"The ICU Observer, Nocturnist with Closed ICU, and Palliative Care Medicine",Internal Medicine Training Notes and Survival Guide,,,,10.1007/978-1-0716-4039-5_10,Kehua Zhou,2024,https://link.springer.com/chapter/10.1007/978-1-0716-4039-5_10,Chapter
Didactical Relevance,Gender Issues and Philosophy Education,,,,10.1007/978-3-476-05907-9_4,Sophia PeukertJuliane KöhlerAnne-Marie Leiblich,2022,https://link.springer.com/chapter/10.1007/978-3-476-05907-9_4,Chapter
Deep Learning for Mental Health Disorder Via Social Network Analysis,Artificial Intelligence for Sustainable Development,,,,10.1007/978-3-031-53972-5_8,Anandakumar HaldoraiBabitha Lincy RSuriya MuruganMinu Balakrishnan,2024,https://link.springer.com/chapter/10.1007/978-3-031-53972-5_8,Chapter
"Subverting Purity: Magic, Medical Pluralism and Tenacious Syncretism","Medical Missionaries and Colonial Knowledge in West Africa and Europe, 1885-1914",,,,10.1007/978-3-031-27128-1_7,Linda Maria Ratschiller Nasim,2023,https://link.springer.com/chapter/10.1007/978-3-031-27128-1_7,Chapter
Women in Print: Transnational Circulation of Idea(l)s from a Dutch Perspective,"Transnational Feminism in Non-English Speaking Europe, c.1960-1990",,,,10.1007/978-3-031-69138-6_7,Marijke HuismanInge Frank van Vught,2024,https://link.springer.com/chapter/10.1007/978-3-031-69138-6_7,Chapter
Artificial Intelligence Software Architecture in the Field of Cardiology and Application in the Cardio Vessel Project Using CJM and Customer Development Methods,"Internet of Things, Smart Spaces, and Next Generation Networks and Systems",,,,10.1007/978-3-031-30258-9_6,Dilafruz NurjabovaQulmatova SayyoraPardayeva Gulmira,2023,https://link.springer.com/chapter/10.1007/978-3-031-30258-9_6,Conference paper
Zeros and Ones: Striving to Classify,"AI, Ethics, and Discrimination in Business",,,,10.1007/978-3-031-53919-0_1,Marco Marabelli,2024,https://link.springer.com/chapter/10.1007/978-3-031-53919-0_1,Chapter
Walking on Egg Shells? Archaeology in Switzerland Torn Between Submission and Resistance from 1933 to 1945,National-Socialist Archaeology in Europe and its Legacies,,,,10.1007/978-3-031-28024-5_19,Hansjörg Brem,2023,https://link.springer.com/chapter/10.1007/978-3-031-28024-5_19,Chapter
"‘BDS today is no different from the SA in 1933’: Juridification, Securitisation and ‘Antifa’-isation of the Contemporary German Discourse on Israel–Palestine, Antisemitism and the BDS Movement","Antisemitism, Islamophobia and the Politics of Definition",,,,10.1007/978-3-031-16266-4_10,Peter Ullrich,2023,https://link.springer.com/chapter/10.1007/978-3-031-16266-4_10,Chapter
